Target_Event_Identity,Sales_Timestamp,Method,Customer,Sales_Event,Type_of_Market,Vehicle_Delivery_Date,Vehicle_Delivery_Status,Post_Vehicle_Delivery_Status,Database
1032,1717497686,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
1033,1717497687,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
1034,1717497688,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
1035,1717497695,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
1036,1717497734,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
1037,1717497711,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
1038,1717497741,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
1039,1717497742,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
1040,1717497740,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
1041,1717497749,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
1042,1717497746,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
1043,1717497751,Dealership,SRS Travels,Bulk Delivery,Commercial,4-Jan-23,DOB,DOJ,Azure
